severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Warning,StoryMissingEpicLink,CORE-899999,,CORE,Story,Client Walkthrough - Orphan child story with no Epic Link,,,,,Story/task row has no Epic Link and cannot contribute to epic completion.,Confirm the Jira export includes Epic Link for child work.,202
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Name,,Client Walkthrough - Identity API name before Jira rename,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Rollup Key,,INIT-100,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Resource Group,,Core Product Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,% Complete,,29,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Total Story Points,,24,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Completed Story Points,,7,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Logged Hours,,16,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Story Points per 8 Hours,,12.44,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Jira Target Start,,2026-02-02,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API name before Jira rename,Jira Target End,,2026-03-02,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,17
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Name,,Client Walkthrough - Login service progress example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Rollup Key,,INIT-200,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Resource Group,,Core Product Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,% Complete,,11,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Total Story Points,,27,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Completed Story Points,,3,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Logged Hours,,24,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Story Points per 8 Hours,,5.33,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Jira Target Start,,2026-02-09,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
Info,AddedEpic,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Jira Target End,,2026-03-16,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,18
