jira_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,resource_group,key_prefix,total_story_points,completed_story_points,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
CORE-1000,CORE,Core platform green changed name,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,24.0,7.0,29,False,False,2026-02-02,2026-03-02,,,
CORE-1003,CORE,Core platform rollup move,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,22.0,8.0,36,False,False,2026-02-23,2026-04-13,,,
CORE-1004,CORE,Core platform intended red schedule cascade root when run through Microsoft Project,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,27.0,11.0,41,False,False,2026-03-02,2026-04-27,,CORE-1005,
CORE-1008,CORE,Core platform epic 09,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,20.0,6.0,30,False,False,2026-03-30,2026-05-18,,,
CORE-1012,CORE,Core platform epic 13,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,6.0,32,False,False,2026-04-27,2026-06-08,,,
CORE-1016,CORE,Core platform epic 17,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,10.0,53,False,False,2026-05-25,2026-06-29,,,
CORE-1020,CORE,Core platform epic 21,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,2.0,11,False,False,2026-06-22,2026-07-20,,,
CORE-1024,CORE,Core platform epic 25,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,3.0,16,False,False,2026-07-20,2026-09-14,,,
CORE-1028,CORE,Core platform epic 29,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,5.0,26,False,False,2026-02-23,2026-04-13,,,
CORE-1032,CORE,Core platform epic 33,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,6.0,32,False,False,2026-03-23,2026-05-04,,,
CORE-1036,CORE,Core platform epic 37,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,10.0,53,False,False,2026-04-20,2026-05-25,,,
CORE-1040,CORE,Core platform epic 41,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,10.0,53,False,False,2026-05-18,2026-06-15,,,
CORE-1044,CORE,Core platform epic 45,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,4.0,21,False,False,2026-06-15,2026-08-10,,,
CORE-1048,CORE,Core platform baseline-only unmatched Project task,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,7.0,37,False,False,2026-07-13,2026-08-31,,,
CORE-1001,CORE,Core platform green percent/date changes,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,3.0,11,False,False,2026-02-09,2026-03-16,,,
CORE-1005,CORE,Core platform intended downstream schedule cascade item,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,32.0,15.0,47,False,False,2026-03-09,2026-04-06,CORE-1004,,
CORE-1009,CORE,Core platform epic 10,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,28.0,12.0,43,False,False,2026-04-06,2026-06-01,,,
CORE-1013,CORE,Core platform epic 14,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,24.0,11.0,46,False,False,2026-05-04,2026-06-22,,,
CORE-1017,CORE,Core platform epic 18,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,6.0,22,False,False,2026-06-01,2026-07-13,,,
CORE-1021,CORE,Core platform epic 22,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,24.0,6.0,25,False,False,2026-06-29,2026-08-03,,,
CORE-1025,CORE,Core platform epic 26,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,10.0,37,False,False,2026-07-27,2026-08-24,,,
