severity,category,jira_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Name,,Client Walkthrough - Release readiness fixVersion ambiguity example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Rollup Key,,Operations Q2,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Resource Group,,Operations,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,% Complete,,16,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Total Story Points,,19,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Completed Story Points,,3,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Jira Target Start,,2026-08-24,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5019,OPS,Epic,Client Walkthrough - Release readiness fixVersion ambiguity example,Jira Target End,,2026-10-19,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,Name,,Scale Rows - Operations - Release checklist automation wave 01,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,Rollup Key,,Operations Q1,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,Resource Group,,Operations,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,% Complete,,48,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,Total Story Points,,21,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
Info,AddedEpic,OPS-5000,OPS,Epic,Scale Rows - Operations - Release checklist automation wave 01,Completed Story Points,,10,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,75
