jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,hours_accuracy_percent,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
OPS-5000,OPS-5000,OPS,Scale Rows - Operations - Release checklist automation wave 01,To Do,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5000,Operations,OPS,21.0,10.0,15.0,2.0,2.5,48,No,No,2026-10-05,2026-11-02,,OPS-5001,
OPS-5002,OPS-5002,OPS,Scale Rows - Operations - Support workflow routing wave 03,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5002,Operations,OPS,22.0,11.0,17.5,4.5,5.1,50,No,No,2026-10-19,2026-11-30,OPS-5001,OPS-5003,
OPS-5004,OPS-5004,OPS,Scale Rows - Operations - Runbook modernization wave 05,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5004,Operations,OPS,24.0,11.0,20.0,4.5,5.1,46,No,No,2026-11-02,2026-12-28,OPS-5003,OPS-5005,
OPS-5006,OPS-5006,OPS,Scale Rows - Operations - Monitoring handoff wave 07,To Do,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5006,Operations,OPS,27.0,11.0,16.0,4.5,5.1,41,No,No,2026-11-16,2026-12-21,OPS-5005,OPS-5007,
OPS-5008,OPS-5008,OPS,Scale Rows - Operations - Release checklist automation wave 09,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5008,Operations,OPS,20.0,4.0,18.5,7.0,21.9,20,No,No,2026-06-08,2026-07-27,OPS-5007,OPS-5009,
OPS-5010,OPS-5010,OPS,Scale Rows - Operations - Support workflow routing wave 11,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5010,Operations,OPS,19.0,1.0,16.5,2.0,25.0,5,No,No,2026-06-22,2026-07-20,OPS-5009,OPS-5011,
OPS-5012,OPS-5012,OPS,Scale Rows - Operations - Runbook modernization wave 13,To Do,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5012,Operations,OPS,19.0,6.0,11.0,2.0,4.2,32,No,No,2026-07-06,2026-08-17,OPS-5011,OPS-5013,
OPS-5014,OPS-5014,OPS,Scale Rows - Operations - Monitoring handoff wave 15,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5014,Operations,OPS,19.0,6.0,12.0,2.0,4.2,32,No,No,2026-07-20,2026-09-14,OPS-5013,OPS-5015,
OPS-5016,OPS-5016,OPS,Scale Rows - Operations - Release checklist automation wave 17,In Progress,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5016,Operations,OPS,19.0,5.0,13.0,0.0,0.0,26,No,No,2026-08-03,2026-09-07,OPS-5015,OPS-5017,
OPS-5018,OPS-5018,OPS,Scale Rows - Operations - Support workflow routing wave 19,To Do,fixVersion,Operations Q1,Operations Q1,Scheduled,Operations Q1,Yes,OPS-5018,Operations,OPS,19.0,7.0,14.0,4.5,8.0,37,No,No,2026-08-17,2026-10-05,OPS-5017,,
