severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Name,,Client Walkthrough - Qualification software reference example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Rollup Key,,Qualification Event 1,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Resource Group,,Platform Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Fix Version,,Qualification Event 1,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,% Complete,,53,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Total Story Points,,19,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Completed Story Points,,10,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Logged Hours,,14.5,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Story Points per 8 Hours,,13.33,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Jira Target Start,,2026-09-21,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Jira Target End,,2026-11-09,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Name,,Client Walkthrough - Deployment runner fixVersion example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Rollup Key,,Shared Services 2026,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Resource Group,,Platform Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Fix Version,,Shared Services 2026,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,% Complete,,22,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Total Story Points,,27,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
Info,AddedEpic,PLAT-4029,PLAT-4029,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Completed Story Points,,6,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,33
