severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Review,InPlanning,WEB-2010,,WEB,Epic,Client Walkthrough - Design system discovery with no pointed child work,In Planning,,Yes,in_planning,Epic has no pointed child stories/tasks and is marked In Planning.,Confirm this epic is intentionally unestimated or add pointed child work.,28
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Name,,Client Walkthrough - Web launch self dependency example,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Rollup Key,,INIT-1200,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Resource Group,,Web Experience,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,% Complete,,50,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Total Story Points,,20,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Completed Story Points,,10,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Logged Hours,,12.5,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Hours Accuracy %,,2.5,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Jira Target Start,,2026-03-30,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
Info,AddedEpic,WEB-2008,WEB-2008,WEB,Epic,Client Walkthrough - Web launch self dependency example,Jira Target End,,2026-05-18,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,27
