severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,AddedEpic,CORE-1005,CORE-1005,CORE,Epic,Client Walkthrough - Payment cutover downstream dependency,Predecessors,,CORE-1004,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,22
Info,AddedEpic,WEB-2001,WEB-2001,WEB,Epic,Scale Rows - Web Experience - Checkout web flow wave 02,Predecessors,,WEB-2000,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,37
Info,AddedEpic,WEB-2020,WEB-2020,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 21,Predecessors,,WEB-2019,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,38
Info,AddedEpic,WEB-2011,WEB-2011,WEB,Epic,Scale Rows - Web Experience - Accessibility remediation wave 12,Predecessors,,WEB-2009,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,39
Info,AddedEpic,WEB-2002,WEB-2002,WEB,Epic,Scale Rows - Web Experience - Homepage personalization wave 03,Predecessors,,WEB-2001,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,40
Info,AddedEpic,WEB-2021,WEB-2021,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 22,Predecessors,,WEB-2020,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,42
Info,AddedEpic,WEB-2012,WEB-2012,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 13,Predecessors,,WEB-2011,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,43
Info,AddedEpic,WEB-2003,WEB-2003,WEB,Epic,Scale Rows - Web Experience - Accessibility remediation wave 04,Predecessors,,WEB-2002,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,44
Info,AddedEpic,WEB-2022,WEB-2022,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 23,Predecessors,,WEB-2021,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,47
Info,AddedEpic,WEB-2013,WEB-2013,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 14,Predecessors,,WEB-2012,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,48
Info,AddedEpic,WEB-2004,WEB-2004,WEB,Epic,Scale Rows - Web Experience - Content publishing wave 05,Predecessors,,WEB-2003,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,49
Info,AddedEpic,WEB-2023,WEB-2023,WEB,Epic,Scale Rows - Web Experience - Experiment cleanup wave 24,Predecessors,,WEB-2022,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,52
Info,AddedEpic,WEB-2014,WEB-2014,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 15,Predecessors,,WEB-2013,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,53
Info,AddedEpic,WEB-2005,WEB-2005,WEB,Epic,Scale Rows - Web Experience - Navigation refresh wave 06,Predecessors,,WEB-2004,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,54
Info,AddedEpic,WEB-2024,WEB-2024,WEB,Epic,Scale Rows - Web Experience - Search results tuning wave 25,Predecessors,,WEB-2023,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,57
Info,AddedEpic,WEB-2015,WEB-2015,WEB,Epic,Scale Rows - Web Experience - Experiment cleanup wave 16,Predecessors,,WEB-2014,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,58
Info,AddedEpic,WEB-2006,WEB-2006,WEB,Epic,Scale Rows - Web Experience - Localization pass wave 07,Predecessors,,WEB-2005,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,59
Info,AddedEpic,WEB-2025,WEB-2025,WEB,Epic,Scale Rows - Web Experience - Checkout web flow wave 26,Predecessors,,WEB-2024,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,62
Info,AddedEpic,WEB-2016,WEB-2016,WEB,Epic,Scale Rows - Web Experience - Search results tuning wave 17,Predecessors,,WEB-2015,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,63
Info,AddedEpic,WEB-2007,WEB-2007,WEB,Epic,Scale Rows - Web Experience - Experiment cleanup wave 08,Predecessors,,WEB-2006,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,64
Info,AddedEpic,WEB-2026,WEB-2026,WEB,Epic,Scale Rows - Web Experience - Homepage personalization wave 27,Predecessors,,WEB-2025,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,67
Info,AddedEpic,WEB-2017,WEB-2017,WEB,Epic,Scale Rows - Web Experience - Checkout web flow wave 18,Predecessors,,WEB-2016,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,68
