severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,MultiFixVersionReference,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Fix versions,,"Qualification Event 1, Shop Deliverable A",,Primary scheduled row selected from the first Jira fixVersion 'Qualification Event 1'. Secondary fixVersions are added as non-driving reference rows.,Confirm the first Jira fixVersion should drive the schedule.,32
Info,MultiFixVersionReference,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Fix versions,,"Qualification Event 1, Shop Deliverable A",,Reference row created under fixVersion 'Shop Deliverable A'. Schedule is driven by primary row 'PLAT-4028' under fixVersion 'Qualification Event 1'.,Confirm this secondary fixVersion is for visibility only.,32
Warning,ExcludedMissingRollup,PLAT-4029,,PLAT,Epic,Client Walkthrough - Deployment runner fixVersion example,Rollup,,,review_needed,Epic has no fixVersion.,"Add the required initiative parent or fixVersion in Jira, then rerun.",33
Info,ChangedField,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,% Complete,53,50,changed_cell,% Complete changed from '53' to '50'.,Review the changed sandbox cell.,32
Info,ChangedField,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Total Story Points,19,20,changed_cell,Total Story Points changed from '19' to '20'.,Review the changed sandbox cell.,32
Info,ChangedField,PLAT-4028,PLAT-4028,PLAT,Epic,Client Walkthrough - Qualification software reference example,Logged Hours,14.5,18,changed_cell,Logged Hours changed from '14.5' to '18'.,Review the changed sandbox cell.,32
Info,AddedEpic,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Schedule Key,,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Name,,Client Walkthrough - Qualification software reference example,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Rollup Key,,Shop Deliverable A,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Resource Group,,Platform Engineering,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,32
Info,AddedEpic,PLAT-4028,PLAT-4028::FV::SHOP-DELIVERABLE-A::DE89D3A4,PLAT,Epic,Client Walkthrough - Qualification software reference example,Row Role,,Reference,changed_cell,Epic is new relative to the comparison baseline.,Review the added epic in the sandbox Project file.,32
