jira_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,resource_group,key_prefix,total_story_points,completed_story_points,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
OPS-5000,OPS,Operations epic 01,To Do,fixVersion,Operations Q1,Operations Q1,Operations,OPS,21.0,10.0,48,False,False,2026-10-05,2026-11-02,,,
OPS-5002,OPS,Operations epic 03,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,22.0,11.0,50,False,False,2026-10-19,2026-11-30,,,
OPS-5004,OPS,Operations epic 05,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,24.0,11.0,46,False,False,2026-11-02,2026-12-28,,,
OPS-5006,OPS,Operations epic 07,To Do,fixVersion,Operations Q1,Operations Q1,Operations,OPS,27.0,11.0,41,False,False,2026-11-16,2026-12-21,,,
OPS-5008,OPS,Operations epic 09,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,20.0,4.0,20,False,False,2026-06-08,2026-07-27,,,
OPS-5010,OPS,Operations epic 11,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,19.0,1.0,5,False,False,2026-06-22,2026-07-20,,,
OPS-5012,OPS,Operations epic 13,To Do,fixVersion,Operations Q1,Operations Q1,Operations,OPS,19.0,6.0,32,False,False,2026-07-06,2026-08-17,,,
OPS-5014,OPS,Operations epic 15,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,19.0,6.0,32,False,False,2026-07-20,2026-09-14,,,
OPS-5016,OPS,Operations epic 17,In Progress,fixVersion,Operations Q1,Operations Q1,Operations,OPS,19.0,5.0,26,False,False,2026-08-03,2026-09-07,,,
OPS-5018,OPS,Operations epic 19,To Do,fixVersion,Operations Q1,Operations Q1,Operations,OPS,19.0,7.0,37,False,False,2026-08-17,2026-10-05,,,
OPS-5001,OPS,Operations epic 02,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,27.0,6.0,22,False,False,2026-10-12,2026-11-16,,,
OPS-5003,OPS,Operations epic 04,To Do,fixVersion,Operations Q2,Operations Q2,Operations,OPS,20.0,6.0,30,False,False,2026-10-26,2026-12-14,,,
OPS-5005,OPS,Operations epic 06,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,21.0,7.0,33,False,False,2026-11-09,2026-12-07,,,
OPS-5007,OPS,Operations epic 08,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,22.0,7.0,32,False,False,2026-11-23,2027-01-04,,,
OPS-5009,OPS,Operations epic 10,To Do,fixVersion,Operations Q2,Operations Q2,Operations,OPS,24.0,7.0,29,False,False,2026-06-15,2026-08-10,,,
OPS-5011,OPS,Operations epic 12,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,19.0,10.0,53,False,False,2026-06-29,2026-08-03,,,
OPS-5013,OPS,Operations epic 14,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,19.0,8.0,42,False,False,2026-07-13,2026-08-31,,,
OPS-5015,OPS,Operations epic 16,To Do,fixVersion,Operations Q2,Operations Q2,Operations,OPS,19.0,11.0,58,False,False,2026-07-27,2026-08-24,,,
OPS-5017,OPS,Operations epic 18,In Progress,fixVersion,Operations Q2,Operations Q2,Operations,OPS,19.0,11.0,58,False,False,2026-08-10,2026-09-21,,,
PLAT-4000,PLAT,Platform services epic 01,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,19.0,8.0,42,False,False,2026-08-31,2026-09-28,,,
PLAT-4003,PLAT,Platform services epic 04,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,27.0,10.0,37,False,False,2026-09-21,2026-11-09,,,
PLAT-4006,PLAT,Platform services epic 07,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,19.0,5.0,26,False,False,2026-10-12,2026-11-16,,,
PLAT-4009,PLAT,Platform services epic 10,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,24.0,6.0,25,False,False,2026-11-02,2026-12-28,,,
PLAT-4012,PLAT,Platform services epic 13,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,19.0,7.0,37,False,False,2026-06-01,2026-07-13,,,
PLAT-4015,PLAT,Platform services epic 16,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,20.0,6.0,30,False,False,2026-06-22,2026-07-20,,,
PLAT-4018,PLAT,Platform services epic 19,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,19.0,4.0,21,False,False,2026-07-13,2026-08-31,,,
PLAT-4021,PLAT,Platform services epic 22,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,22.0,7.0,32,False,False,2026-08-03,2026-09-07,,,
PLAT-4024,PLAT,Platform services epic 25,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,19.0,6.0,32,False,False,2026-08-24,2026-10-19,,,
PLAT-4027,PLAT,Platform services epic 28,To Do,fixVersion,Platform Q1,Platform Q1,Platform Engineering,PLAT,21.0,4.0,19,False,False,2026-09-14,2026-10-26,,,
PLAT-4001,PLAT,Platform services epic 02,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,21.0,7.0,33,False,False,2026-09-07,2026-10-12,,,
PLAT-4004,PLAT,Platform services epic 05,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,19.0,1.0,5,False,False,2026-09-28,2026-11-23,,,
PLAT-4007,PLAT,Platform services epic 08,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,20.0,4.0,20,False,False,2026-10-19,2026-11-30,,,
PLAT-4010,PLAT,Platform services epic 11,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,19.0,6.0,32,False,False,2026-05-18,2026-06-15,,,
PLAT-4013,PLAT,Platform services epic 14,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,22.0,4.0,18,False,False,2026-06-08,2026-07-27,,,
PLAT-4016,PLAT,Platform services epic 17,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,19.0,11.0,58,False,False,2026-06-29,2026-08-03,,,
PLAT-4019,PLAT,Platform services epic 20,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,21.0,10.0,48,False,False,2026-07-20,2026-09-14,,,
PLAT-4022,PLAT,Platform services epic 23,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,19.0,4.0,21,False,False,2026-08-10,2026-09-21,,,
PLAT-4025,PLAT,Platform services epic 26,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,24.0,11.0,46,False,False,2026-08-31,2026-09-28,,,
PLAT-4028,PLAT,Platform services epic 29,In Progress,fixVersion,Platform Q2,Platform Q2,Platform Engineering,PLAT,19.0,10.0,53,False,False,2026-09-21,2026-11-09,,,
PLAT-4002,PLAT,Platform services epic 03,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,19.0,3.0,16,False,False,2026-09-14,2026-10-26,,,
PLAT-4005,PLAT,Platform services epic 06,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,22.0,11.0,50,False,False,2026-10-05,2026-11-02,,,
PLAT-4008,PLAT,Platform services epic 09,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,19.0,2.0,11,False,False,2026-10-26,2026-12-14,,,
