severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Name,,Shared deployment pipeline,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Rollup Key,,Portal 2026,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Resource Group,,Platform Engineering,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Fix Version,,Portal 2026,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,% Complete,,100,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Total Story Points,,8,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Completed Story Points,,8,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Logged Hours,,10,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Jira Target Start,,2026-09-01,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
Info,AddedEpic,PLAT-201,PLAT-201,PLAT,Epic,Shared deployment pipeline,Jira Target End,,2026-09-20,changed_cell,Epic is included in the planned sandbox and was not found in the comparison baseline.,Review the added epic in the sandbox Project file.,6
