Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Control Number),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Dev Team Approval),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Systems Team Approval),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Test Team Approval),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Verification Method),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment
Update S4 to include stigs ,SSWCYBER-3590,111030,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,dcatapan,mwagner7,mwagner7,18/Sep/26 10:48 AM,18/Sep/26 11:06 AM,18/Sep/26 3:19 PM,,,PI 19,PI 20,,,,,B30 Lab,,,,0,"Update s4 role to include stigs. This is the image-builder pipeline server. Potentially evaluate if this is actually a dev or an infra structure. Could make the argument that only admins should be contributing to server config and thus could live on the infra servers.

Part of this can be to determine where this functionality should live and if it needs a stand alone server to execute.",,mwagner7,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Update s4 role to include stigs. This is the image-builder pipeline server. Potentially evaluate if this is actually a dev or an infra structure. Could make the argument that only admins should be contributing to server config and thus could live on the infra servers.

Part of this can be to determine where this functionality should live and if it needs a stand alone server to execute.",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av0s:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Install Ceph in Infra Cluster - Potentially Split,SSWCYBER-3589,111027,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,dcatapan,mwagner7,mwagner7,18/Sep/26 10:37 AM,18/Sep/26 11:07 AM,18/Sep/26 3:20 PM,,,PI 19,PI 20,,,,,B30 Lab,,,,0,"Create a repository to house third party helm installs. We can debat structure
Connect repository to kubernetes cluster if possible (unsure if this will work because of subnets)
If it can't work then setup the gitlab pipeline in a differenet way to be able to install/upgrade the kubernetes deployment of cepth to the infra cluster

install 3 node ceph cluster onto infra using the above process",,mwagner7,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Create a repository to house third party helm installs. We can debat structure
Connect repository to kubernetes cluster if possible (unsure if this will work because of subnets)
If it can't work then setup the gitlab pipeline in a differenet way to be able to install/upgrade the kubernetes deployment of cepth to the infra cluster

install 3 node ceph cluster onto infra using the above process",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av04:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Install S10/S11,SSWCYBER-3588,111026,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,dcatapan,mwagner7,mwagner7,18/Sep/26 10:34 AM,18/Sep/26 11:07 AM,18/Sep/26 3:20 PM,,,PI 19,PI 20,,,,,B30 Lab,,,,0,"Use the s5 Iso blueprint for s10 and s11. THis should be configured correctly in gitlab too. S5 should become infra/base in the folder structure I think. The env and subenv is configurable and could be made to apply to multiple servers instead of a single server as it is setup now.

so reorganize gitlab to be a logical representation of infrastructure servers.
This should be mainly configuration and installation. No iso information will need to change so you can dodge the pipeline",,mwagner7,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use the s5 Iso blueprint for s10 and s11. THis should be configured correctly in gitlab too. S5 should become infra/base in the folder structure I think. The env and subenv is configurable and could be made to apply to multiple servers instead of a single server as it is setup now.

so reorganize gitlab to be a logical representation of infrastructure servers.
This should be mainly configuration and installation. No iso information will need to change so you can dodge the pipeline",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0auzw:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Remediate Faillock Configuration Not Working,SSWCYBER-3587,111025,Task,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Low,,ecollett,dcatapan,dcatapan,18/Sep/26 10:24 AM,18/Sep/26 10:24 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,,,,0,"A faillock configuration was previously prototyped and implemented into a playbook. The goal of this configuration was to allow faillock to remove lock attempts after 15 minutes. This was to prevent users from becoming permanently locked out after 3 consecutive failed logins, while still remaining compliant with the STIG. This configuration was deployed environment-wide but does not seem to be functioning.

Review the playbook and the configuration to identify if there are any logical flaws, bad configurations, or syntax issues. Once resolved, prototype on a single server and verify functionality. Then deploy environment-wide (includes ALL servers).",,dcatapan,,,,,,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecollett,,,,,SSWCYBER-2722,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0auzo:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
B30 Logical Re-Architecture,SSWCYBER-3586,111023,Epic,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,,dcatapan,dcatapan,dcatapan,18/Sep/26 9:49 AM,18/Sep/26 11:30 AM,18/Sep/26 3:20 PM,,,PI 19,PI 20,,,,,B30 Lab,,,,0,,,dcatapan,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,ghx-label-5,,B30 Logical Re-Architecture,In Progress,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,15.0,,,,,,,,,,,,,,,,"1|i0auz8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,3.0,0.0,,,9.8,0.0,30.5,27.5,244.0,244.0,0.0,,,,,,
Prepare SSW SBC for certification,SSWCYBER-3585,110991,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,jcabral7,jprovenz,jprovenz,17/Sep/26 3:15 PM,17/Sep/26 3:15 PM,18/Sep/26 3:20 PM,,,,,,,,,,,,,0,assistance is needed collecting packages required to build ssw-test code architecture in preparation for cyber cert.,,jprovenz,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWTEST-3919,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0auw4:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,jprovenz,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Update Firmware for Tactical Switches in BLD30,SSWCYBER-3584,110980,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,rngwanga,dcatapan,dcatapan,17/Sep/26 9:44 AM,17/Sep/26 9:44 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,,,,0,"For test cabinet switches (test1, test2, mes1) update to the latest tactical EOS version provided by LM / SWFTS.",,dcatapan,,,,,,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rngwanga,,,,,SSWCYBER-2719,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|hzwv9z:0i00000000y5001i0001i30590001i00000nb4",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Upgrade Firmware for Lab Switches with Commercial Version,SSWCYBER-3583,110979,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,rngwanga,dcatapan,dcatapan,17/Sep/26 9:43 AM,17/Sep/26 9:44 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,,,,0,"We need to update the lab switches (1,3,4,5) to the latest commercial version.",,dcatapan,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rngwanga,,,,,SSWCYBER-2719,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|hzwv9z:0i00000000y5001i0001i30590001i00000nb2",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 20.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Grab Latest EOS Versions (commerical & SWFTS),SSWCYBER-3582,110978,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,rngwanga,dcatapan,dcatapan,17/Sep/26 9:41 AM,17/Sep/26 9:45 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,,,,0,Grab the latest EOS versions for commercial Arista builds and for tactical builds. Upload to x-drive.,,dcatapan,,,,,,,,,,,5760,5760,,0%,5760,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rngwanga,,,,,SSWCYBER-2719,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|hzwv9z:0i00000000y5001i0001i30590001i00000nb1",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.6,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Update IdM sssd.conf File,SSWCYBER-3580,110928,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Low,Done,ecollett,dcatapan,dcatapan,15/Sep/26 3:34 PM,17/Sep/26 10:55 AM,18/Sep/26 3:20 PM,17/Sep/26 10:55 AM,,PI 19,,,,,,B30 Lab,,,,0,"Find where sssd.conf is pulled from within IdM. Update the file so it has correct pam settings, it has home dirs defined, and it has cached passwords off. Please reference server 9 sssd.conf file for correct settings. /etc/sssd/sssd.conf. Update IdM default so when servers enroll, they pull that file. Probably worth documenting inside a confluence page, see if theres an existing one for IdM install.",,dcatapan,,,,";15/Sep/26 3:57 PM;ecollett;1200",";16/Sep/26 4:21 PM;ecollett;21600",";17/Sep/26 10:55 AM;ecollett;7200",,,,,14400,0,30000,208%,14400,0,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecollett,,,,,SSWCYBER-2722,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0aul0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
