Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Deadline),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original Need Date),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
Implement Tray Manual Touch Controls,SSWGUI-516,110926,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,15/Sep/26 12:14 PM,15/Sep/26 12:14 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-7,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aukk:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Implement Tray Auto Touch Controls,SSWGUI-515,110925,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,15/Sep/26 12:14 PM,15/Sep/26 12:14 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-7,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aukc:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Implement Servo Touch Controls,SSWGUI-514,110924,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,15/Sep/26 12:12 PM,15/Sep/26 12:15 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-7,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0auk4:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create updated Overrides Screen Mockup,SSWGUI-513,110923,Story,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 12:10 PM,15/Sep/26 12:11 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,EST,TCS,,0,Align with HMI IPT touch screen Guidance for T10 Controls ,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csherida,,,,,SSWGUI-102,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aujw:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create updated T10 Control Screen Mockup,SSWGUI-512,110922,Story,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 12:09 PM,15/Sep/26 12:09 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,EST,,,,0,Align with HMI IPT touch screen Guidance for T10 Controls ,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- auto mode 
- servo mode 
- manual mode",,,,,,,,csherida,,,,,SSWGUI-7,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aujo:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create MAM GUI updated Mockup screen,SSWGUI-511,110915,Story,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 11:24 AM,15/Sep/26 11:51 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"This task is dedicated to producing a 1:1 recreation of the images presented by GDMS during the an in person HMI IPT demo. 

The UI Design portion of this board is the key workflow to be followed. 

The tasks output will include updating the Jira plan",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- One to one mapping to UI Design provided by GMDS. 
- Should be in a format that allows SW to go in and use.
- mockup created and given to SW
- one sw and one sys reviewer 
- presented to operators and feedback incorporated
- tasking backlog re-evaluated and updated",,,,,,,,,,,,,SSWGUI-507,,,In Progress,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0ariq:i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create PMG updated Mockup Screen,SSWGUI-510,110914,Story,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 11:24 AM,15/Sep/26 11:51 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"This task is dedicated to producing a 1:1 recreation of the images presented by GDMS during the an in person HMI IPT demo. 

The UI Design portion of this board is the key workflow to be followed. 

The tasks output will include updating the Jira plan",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- One to one mapping to UI Design provided by GMDS. 
- Should be in a format that allows SW to go in and use.
- mockup created and given to SW
- one sw and one sys reviewer 
- presented to operators and feedback incorporated
- tasking backlog re-evaluated and updated",,,,,,,,,,,,,SSWGUI-507,,,In Progress,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arip:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create updated T10 Mock Up Screen,SSWGUI-509,110913,Story,UI Design,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 11:24 AM,15/Sep/26 11:56 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"This task is dedicated to producing a 1:1 recreation of the images presented by GDMS during the an in person HMI IPT demo. 

The UI Design portion of this board is the key workflow to be followed. 

The tasks output will include updating the Jira plan",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- One to one mapping to UI Design provided by GMDS. 
- Should be in a format that allows SW to go in and use.
- mockup created and given to SW
- one sw and one sys reviewer 
- presented to operators and feedback incorporated
- tasking backlog re-evaluated and updated",,,,,,,,csherida,,,,,SSWGUI-507,,,In Progress,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arim:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create updated Tray Mockup Screen,SSWGUI-508,110912,Story,Selected For Development,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 11:24 AM,15/Sep/26 11:51 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"This task is dedicated to producing a 1:1 recreation of the images presented by GDMS during the an in person HMI IPT demo. 

The UI Design portion of this board is the key workflow to be followed. 

The tasks output will include updating the Jira plan",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- One to one mapping to UI Design provided by GMDS. 
- Should be in a format that allows SW to go in and use.
- mockup created and given to SW
- one sw and one sys reviewer 
- presented to operators and feedback incorporated
- tasking backlog re-evaluated and updated",,,,,,,,,,,,,SSWGUI-507,,,In Progress,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arir:i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Align Nominal Operation Mockups to UI Designs provided by GMDS,SSWGUI-507,110911,Epic,In Progress,SSWGUI,SSWGUI,software,kbassi,,,Medium,,csherida,kbassi,kbassi,15/Sep/26 11:24 AM,15/Sep/26 11:41 AM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,Design Ahead,,,,0,"{+}*Summary*{+}:

As per one of the more recent in person HMI IPT meetings, Jon Jolly from GDMS presented images of EB-owned views that align more with the UMS views. One of our goals is to make the views in the system align with each other. As a part of this effort, we are going in and updating key operator views. 

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 ** Helps EB align with the GDMS style guide and enables common look and feel
 * {*}How does this fit into the larger project{*}:
 ** These screens will be iterated upon when SW is ready to support the effort. 

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 ** Create one to one mockups of the views. 
 ** Ensure operators are on board with the layout on these screens. Make refinements as needed. 
 * {*}Key Components/Docs/Specs{*}:

Outputs:

This intentionally excludes SW development from the process. Allowing the UI Designer to design ahead at a faster pace without being blocked by SW development side of things. 

 ",,kbassi,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,Align Nominal Operation Mockups to UI Designs provided by GMDS,In Progress,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arij:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,16%,20/Dec/26 12:00 AM,31/Aug/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
