Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Needed From),Custom field (Dependency Needed From),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (RCR),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
TCS SSS RCR Review,SSWIF-4979,111004,Task,In Progress,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,dordonez,dordonez,dordonez,18/Sep/26 8:30 AM,18/Sep/26 8:30 AM,18/Sep/26 3:23 PM,,,PI19,,Unplanned,VA-SSW-P2MS-ICD-001,,,,,,,,,,,0,"As acting Interface Lead,

 

Review the RCRs sent by email by Zachery Pryor. Make comments on Dean's behalf if needed.",,dordonez,,,,,,,,,,,,,,,,5760,5760,,0%,5760,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWSYS,dordonez,,,,,SSWIF-4600,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aa2u:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 19.6,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
P2MS Kick-off Materials Review,SSWIF-4978,111003,Task,In Progress,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,dordonez,dordonez,dordonez,18/Sep/26 8:28 AM,18/Sep/26 8:30 AM,18/Sep/26 3:23 PM,,,PI19,,Unplanned,VA-SSW-P2MS-ICD-001,,,,,,,,,,,0,"As acting Interface Lead while Dean is OOO,

Review the P2MS kickoff materials,
 * Compare tasks in the kickoff with P2M Epic priorities
 * Make sure HP items are in the kickoff
 * Make sure Low priority items are removed.
 * Create needed PTRs/RCRs for the doc
 ** Trying kick off all High/Medium items in PI20 or PI21.
 * Cross-check kickoff PTRs wagainst SSWIF PI20 planning if time permits.
 ** Flag planned items that aren't in the kickoff
 ** Frontload HP items
 * Add reviewers to relevant RCRs if time permits.",,dordonez,,,,,,,,,,,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dordonez,,,,,SSWIF-4600,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aa2t:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 19.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
PHC Front matter updates,SSWIF-4977,110932,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,aodiase,aodiase,aodiase,16/Sep/26 8:11 AM,16/Sep/26 8:16 AM,16/Sep/26 8:28 AM,,,PI20,,,,,,,,,,,,,,0,,,aodiase,,,,,,,,,,,,,,,,5760,5760,,0%,5760,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aodiase,,,,,SSWIF-4530,,,To Do,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aulw:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.1,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Replace each ICD interface diagram with CAMEO block diagrams Tech Warrant: NAVSEA 05Z45,SSWIF-4976,110931,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,aodiase,aodiase,aodiase,16/Sep/26 8:02 AM,16/Sep/26 8:02 AM,18/Sep/26 3:23 PM,,,,,,,,,,,,,,,,,0,,,aodiase,,,,,,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aodiase,,,,,SSWIF-4531,,,To Do,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aulo:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create RCRs for P2MS,SSWIF-4975,110901,Task,Done,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,Done,dordonez,dordonez,dordonez,15/Sep/26 9:28 AM,15/Sep/26 12:19 PM,18/Sep/26 3:23 PM,15/Sep/26 12:19 PM,,PI19,,VA-SSW-P2MS-ICD-001,,,,,,,,,,,,0,"Create RCRs for P2MS

This ticket tracks work that is assigned to me. (Daniel Ordonez)",,dordonez,,,,"RCRs have been created. They've been sent in an email to Dean Ingram in a table alongside their PTR counterparts.;15/Sep/26 12:19 PM;dordonez;4500",,,,,,,,,,,,5760,1260,4500,78%,5760,1260,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dordonez,,,,,SSWIF-693,,,In Progress,,,,,,Sprint,,,,,"Posted on: Tue Sep 15 12:19:02 EDT 2026
RCRs have been created. They've been sent in an email to Dean Ingram in a table alongside their PTR counterparts.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0auh8:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 19.6,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"15/Sep/26 12:19 PM;dordonez;RCRs have been created. They've been sent in an email to Dean Ingram in a table alongside their PTR counterparts.;;;",,,
Create wire diagrams for each component in section 3.3 ,SSWIF-4974,110900,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,aodiase,aodiase,aodiase,15/Sep/26 9:07 AM,16/Sep/26 7:50 AM,18/Sep/26 3:23 PM,,,PI20,,,,,,,,,,,,,,0,,,aodiase,,,,,,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aodiase,,,,,SSWIF-4518,,,To Do,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aug4:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Write RTES requirements,SSWIF-4973,110880,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,dordonez,cquinby,cquinby,14/Sep/26 5:55 PM,14/Sep/26 5:55 PM,18/Sep/26 3:23 PM,,,PI21,,,,,,,,,,,,,,0,,,cquinby,,,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dordonez,,,,,SSWIF-4640,,,To Do,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0auf0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
RCR 4467 - TSUB Review Comment Adj.,SSWIF-4972,110864,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,cwhite10,cwhite10,cwhite10,14/Sep/26 12:02 PM,14/Sep/26 12:08 PM,18/Sep/26 3:23 PM,,,PI19,PI20,VA-SSW-ESTP-ICD-001,,,,,,,,,,,,0,,,cwhite10,,,,,,,,,,,,,,,,2880,2880,,0%,2880,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwhite10,,,,,SSWIF-4578,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0arwa:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.3,,,,,,,,0.1,,,,0%,30/Oct/26 12:00 AM,19/Oct/26 12:00 AM,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
RCR 4467 - Supervisor Review Comment Adj.,SSWIF-4971,110863,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,cwhite10,cwhite10,cwhite10,14/Sep/26 12:02 PM,14/Sep/26 12:05 PM,18/Sep/26 3:23 PM,,,PI20,,VA-SSW-ESTP-ICD-001,,,,,,,,,,,,0,,,cwhite10,,,,,,,,,,,,,,,,2880,2880,,0%,2880,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwhite10,,,,,SSWIF-4578,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0as2b:i",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.2,,,,,,,,0.1,,,,0%,16/Oct/26 12:00 AM,12/Oct/26 12:00 AM,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
RCR 4467 - Leads Review Comment Adj.,SSWIF-4970,110862,Task,To Do,SSWIF,SSWIF,software,dingram1,"dedicated scrum space for ICD Leads, at the request of the SYS product owner and SYS management.",,Medium,,cwhite10,cwhite10,cwhite10,14/Sep/26 12:01 PM,14/Sep/26 12:05 PM,18/Sep/26 3:23 PM,,,PI20,,VA-SSW-ESTP-ICD-001,,,,,,,,,,,,0,,,cwhite10,,,,,,,,,,,,,,,,5760,5760,,0%,5760,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwhite10,,,,,SSWIF-4578,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0as2a:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWIF Sprint 20.2,,,,,,,,0.2,,,,0%,09/Oct/26 12:00 AM,05/Oct/26 12:00 AM,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
