Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (CSCI),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Customer),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Features),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Requirement Src),Custom field (Review Checklist),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Status Attribute),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Task Points),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣEffort Variance (%)),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Remove Kellnr from SSW Pipeline (potentially not under this epic but mostly I don't care),SSWSW-11858,111033,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,mcollett,mwagner7,mwagner7,18/Sep/26 11:30 AM,18/Sep/26 11:30 AM,18/Sep/26 3:24 PM,,,PI 19,PI 20,,,,,,,B30 Lab,,,,,,0,,,mwagner7,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,SSWSW-11857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Update SSW pipelines to use Artifactory instead of kellnr,,,,,,,,,mcollett,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av1g:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Update Rust Development to use Artifactory - SPLIT,SSWSW-11857,111032,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,mcollett,mwagner7,mwagner7,18/Sep/26 11:28 AM,18/Sep/26 11:30 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,B30 Lab,,,,,,0,"Populate third party crates from kellnr to artifactory
create ssw-rust repo 
create ssw-rust-all-local that combines third party +ssw repository
update ssw-dev role or documentation on how to use this",,mwagner7,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,SSWSW-11858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Populate third party crates from kellnr to artifactory
create ssw-rust repo 
create ssw-rust-all-local that combines third party +ssw repository
update ssw-dev role or documentation on how to use this",,,,,,,,,mcollett,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av18:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Fix SSW-Dev Role,SSWSW-11856,111031,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,mwagner7,mwagner7,mwagner7,18/Sep/26 11:09 AM,18/Sep/26 11:24 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,,,,,,,0,Update S2 role to not overwrite the download vscode server script in the RPM spec file,,mwagner7,,,,,,,,,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Update S2 role to not overwrite the download vscode server script in the RPM spec file

remove deprecated golang features from profile.d

remove mirror.sh convenience script",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av10:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Install Port and Core Allocator into Infra Cluster,SSWSW-11855,111029,Task,Cancelled,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,Won't Do,gwerbows,mwagner7,mwagner7,18/Sep/26 10:40 AM,18/Sep/26 10:41 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,,,,,,,0,"Port the Port Allocator and Core Allocator roles into a similar structure as the ceph role as something we push to the kubernetes infrastructure

ensure access from development servers and set up the necessary DNS configurations",,mwagner7,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port the Port Allocator and Core Allocator roles into a similar structure as the ceph role as something we push to the kubernetes infrastructure

ensure access from development servers and set up the necessary DNS configurations",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av0k:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Install Port and Core Allocator into Infra Cluster,SSWSW-11854,111028,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,gwerbows,mwagner7,mwagner7,18/Sep/26 10:40 AM,18/Sep/26 11:07 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,B30 Lab,,,,,,0,"Port the Port Allocator and Core Allocator roles into a similar structure as the ceph role as something we push to the kubernetes infrastructure

ensure access from development servers and set up the necessary DNS configurations",,mwagner7,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port the Port Allocator and Core Allocator roles into a similar structure as the ceph role as something we push to the kubernetes infrastructure

ensure access from development servers and set up the necessary DNS configurations",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0av0c:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Install Gitlab Runner in Server 5 Kubernetes Cluster,SSWSW-11853,111024,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,otkachen,mwagner7,mwagner7,18/Sep/26 9:57 AM,18/Sep/26 10:02 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,B30 Lab,,,,,,0,"Show a gitlab ci-job utilizing a container from artifactory to do a hello world.
* install gitlab runner via helm chart located in artifactory
* setup artifactory credentials for D454 TSE third party docker repository
* deploy the gitlab-runner helm chart
* create a kubernetes runner in gitlab ci at a group level
* hello world utilizing a kubernetes runner w/image from artifactory
",,mwagner7,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Show a gitlab ci-job utilizing a container from artifactory to do a hello world.
* install gitlab runner via helm chart located in artifactory
* setup artifactory credentials for D454 TSE third party docker repository
* deploy the gitlab-runner helm chart
* create a kubernetes runner in gitlab ci at a group level
* hello world utilizing a kubernetes runner w/image from artifactory


documentation necessary. All of this should become automated at some point once we proves it works. Particularly runner creation should be a playbook or something idempotent that could be easily done and deployed to different groups. THis can be manual but we should identify tasks to automate after this
",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0auzg:",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Install Server 5,SSWSW-11852,111020,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,ecollett,mwagner7,mwagner7,18/Sep/26 9:25 AM,18/Sep/26 10:51 AM,18/Sep/26 3:25 PM,,,PI 19,PI 20,,,,,,,B30 Lab,,,,,,0,"Server 5 re-install 
New roles
Stig/cws/network/gitlab-runner (just shell)/DNS

invoke stricter security requirements (gotta work this out with dylan)",,mwagner7,,,,,,,,,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Server 5 re-install 
New roles
Stig/cws/network/gitlab-runner (just shell)",,,,,,,,,,,,,,SSWCYBER-3586,,,In Progress,TBD,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0auz0:",,,,,,,,,,,,,,,,,,Medium,,,,,,,SSWSW Sprint 19.6,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Create Guidelines for using CAMEO,SSWSW-11850,110909,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,dpazmino,dpazmino,dpazmino,15/Sep/26 11:03 AM,15/Sep/26 11:06 AM,16/Sep/26 8:34 AM,,,,,,,,,,,NIO,NIO API,,,,,0,We should have a place where you can read guidelines or rules for when using cameo that will help us align on how we do things as well as the look and feel of the exported docs.,,dpazmino,,,,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,SSWSW-11849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Create a confluence page,,,,,,,,,,,,,,SSWSW-10328,,,To Do,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0aui4:",,,,,,,,,,,,,,,,,,,,,,,,,SSWSW Sprint 20.1,,,,,,,,,,2.0,,,,0%,06/Oct/26 12:00 AM,23/Sep/26 12:00 AM,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Template for Data Structure in CAMEO,SSWSW-11849,110907,Task,In Progress,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,mbrophy,dpazmino,dpazmino,15/Sep/26 10:40 AM,17/Sep/26 9:20 AM,18/Sep/26 3:25 PM,,,,,,,,,,,NIO,NIO API,,,,,0,"We have decided to use CAMEO to make our software designs and export the work we do into an SDD document. Cameo has many different templates which dictate how the exported document looks. However, none of them provide all the things we desire in an SDD. In order to fix that, we are making our own custom template.

A Cameo template can be opened up as a word doc and it is populated with templating language called velocity template Language(VTL). Look online for resources to understand and modify this language.",,dpazmino,,,,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,SSWSW-11850,,,,,SSWSW-11847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- Modify a copy of the template specifically for exporting Data Structures under the ""5 Detailed Design"" section of the SDD
- Present MVP to leads and adjudicate
- Integrate template copy into main SDD template
",,,,,,,,,mbrophy,,,,,SSWSW-10328,,,To Do,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i028jc:000r0005r",,,,,,,,,,,,,,,,,,,,,,,,,SSWSW Sprint 19.6,,,,,,,,,,2.0,,,,74%,22/Sep/26 12:00 AM,09/Sep/26 12:00 AM,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Template for Interface in CAMEO,SSWSW-11848,110906,Task,To Do,SSWSW,D454 SSW SW Team,software,gwerbows,"D454 SSW project space of DEV OQE as we R&D.

Our project wiki is on Confluence: https://192.168.3.34/cnfl1/display/DS/D454+SSW+Team+Home

Our process continuous improvement project ""ACE"" (Atlassian Center of Excellence) may be found here: https://192.168.3.34/jira1/secure/RapidBoard.jspa?rapidView=3&projectKey=ACE
 
",https://192.168.3.34/jira1/secure/RapidBoard.jspa?projectKey=SSW&rapidView=1,Medium,,dpazmino,dpazmino,dpazmino,15/Sep/26 10:40 AM,15/Sep/26 10:42 AM,18/Sep/26 3:25 PM,,,,,,,,,,,NIO,NIO API,,,,,0,"We have decided to use CAMEO to make our software designs and export the work we do into an SDD document. Cameo has many different templates which dictate how the exported document looks. However, none of them provide all the things we desire in an SDD. In order to fix that, we are making our own custom template.

A Cameo template can be opened up as a word doc and it is populated with templating language called velocity template Language(VTL). Look online for resources to understand and modify this language.",,dpazmino,,,,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,,SSWSW-11847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- Modify a copy of the template specifically for exporting Interfaces under the ""5 Detailed Design"" section of the SDD
- Present MVP to leads and adjudicate
- Integrate template copy into main SDD template
",,,,,,,,,,,,,,SSWSW-10328,,,To Do,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i09393:yexzz",,,,,,,,,,,,,,,,,,,,,,,,,SSWSW Sprint 20.1,,,,,,,,,,2.0,,,,0%,06/Oct/26 12:00 AM,23/Sep/26 12:00 AM,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
